pharmacy_number;filial_number;pharmacy_name;address;postcode;city;pharmacy_types;ibnr;search_string;lattitude;longitude;found_address
278;02;Nordhavn Apotek;Århusgade 163;2150;Nordhavn;Filial frivillig;27802;Århusgade 163, 2150;55.70787826;12.59600233;road
281;00;Herning Østergades Apotek;Østergade 5;7400;Herning;Apotek;28100;Østergade 5, 7400;56.13634802;8.97601357;road
281;01;Apoteket HerningCentret;Merkurvej 51;7400;Herning;Filial frivillig;28101;Merkurvej 51, 7400;56.130231;8.9364028;first postcode address
281;02;Apoteket Porshøj;Fruehøjvej 41;7400;Herning;Filial frivillig;28102;Fruehøjvej 41, 7400;56.14462591;8.96061425;road
282;00;Odense Apoteket Ørnen;Vestergade 80;5000;Odense C;Apotek;28200;Vestergade 80, 5000;55.39445189;10.38239449;road
282;01;Apoteket Vesterbro Odense;Vesterbro 39-51;5000;Odense C;Filial frivillig;28201;Vesterbro 39-51, 5000;55.41249949;10.40244131;first postcode address
282;02;Apoteket Havnen Odense;Havnegade 2D;5000;Odense C;Filial frivillig;28202;Havnegade 2D, 5000;55.40662483;10.38431639;road
283;00;Holte Apotek;Holte Midtpunkt 20;2840;Holte;Apotek;28300;Holte Midtpunkt 20, 2840;55.81188706;12.47157103;road
285;00;Sønderborg Jernbane Apotek;Jernbanegade 10;6400;Sønderborg;Apotek;28500;Jernbanegade 10, 6400;54.9103939;9.79318511;road
285;01;Augustenborg Apotek;Storegade 41;6400;Sønderborg;Filial frivillig;28501;Storegade 41, 6400;54.9099129;9.82196915;first postcode address
285;02;Apotek Borgen;Kastanie allé 3 st., dør 30;6400;Sønderborg;Filial frivillig;28502;Kastanie allé 3 st., dør 30, 6400;54.9099129;9.82196915;first postcode address
286;00;Rødding Apotek;Kongevej 2;6630;Rødding;Apotek;28600;Kongevej 2, 6630;55.36900235;9.0595652;road
286;01;Gram Apotek;Torvet 4;6510;Gram;Filial;28601;Torvet 4, 6510;55.28853439;9.04880468;road
286;02;Vamdrup Apotek;Torvet 6;6580;Vamdrup;Filial;28602;Torvet 6, 6580;55.42594233;9.28324682;road
286;03;Lunderskov Apotek;Iver Dahlsvej 4;6640;Lunderskov;Filial frivillig;28603;Iver Dahlsvej 4, 6640;55.48018524;9.2986699;road
287;00;Aabenraa Svane Apotek;Opnørplads 1-3;6200;Aabenraa;Apotek;28700;Opnørplads 1-3, 6200;55.04351037;9.4224722;road
287;01;Rødekro Apotek;Østergade 6;6230;Rødekro;Filial frivillig;28701;Østergade 6, 6230;55.06998023;9.33611432;road
288;00;Aabenraa Løve Apotek;Madevej 9;6200;Aabenraa;Apotek;28800;Madevej 9, 6200;55.04369765;9.42053618;road
289;00;Gråsten Apotek;Sundsnæs 13;6300;Gråsten;Apotek-tillægsbevilling;28900;Sundsnæs 13, 6300;54.91085677;9.58886606;road
289;01;Broager Apotek;Storegade 6A;6310;Broager;Filial frivillig;28901;Storegade 6A, 6310;54.88953198;9.67410902;road
291;00;Haderslev Hjorte Apotek;Bispebroen 2 B;6100;Haderslev;Apotek;29100;Bispebroen 2 B, 6100;55.24505835;9.49044717;first postcode address
291;01;Christiansfeld Apotek;Lindegade 35 C;6070;Christiansfeld;Filial;29101;Lindegade 35 C, 6070;55.3536311;9.49634997;first postcode address
291;03;Aabenraa Hjorte Apotek;Madevej 31;6200;Aabenraa;Filial frivillig;29103;Madevej 31, 6200;55.04581047;9.41994723;road
292;00;Haderslev Løve Apotek;Jomfrustien 40;6100;Haderslev;Apotek-tillægsbevilling;29200;Jomfrustien 40, 6100;55.25056767;9.49668525;road
295;00;Toftlund Apotek;Søndergade 2;6520;Toftlund;Apotek;29500;Søndergade 2, 6520;55.19252403;9.0638385;road
295;01;Skærbæk Apotek;Storegade 40;6780;Skærbæk;Filial;29501;Storegade 40, 6780;55.15859585;8.76268915;road
298;00;Sønderborg Løve Apotek Cent. Øst;Grundtvigs Allé 179;6400;Sønderborg;Apotek;29800;Grundtvigs Allé 179, 6400;54.92109518;9.80828516;road
298;01;Nordborg Apotek;Storegade 28;6430;Nordborg;Filial;29801;Storegade 28, 6430;55.05752738;9.74528153;road
298;02;Sønderborg Løve Apotek Perlegade;Perlegade 28;6400;Sønderborg;Filial frivillig;29802;Perlegade 28, 6400;54.91096945;9.79132054;road
301;00;Tinglev Apotek;Jernbanegade 1;6360;Tinglev;Apotek-tillægsbevilling;30100;Jernbanegade 1, 6360;54.93659262;9.25723351;road
301;01;Padborg Apotek;Bovvej 9;6330;Padborg;Filial;30101;Bovvej 9, 6330;54.82628974;9.36290822;road
302;00;Tønder Løve Apotek;Plantagevej 40;6270;Tønder;Apotek;30200;Plantagevej 40, 6270;54.93948498;8.85519338;road
302;01;Løgumkloster Apotek;Østergade 5 B;6240;Løgumkloster;Filial;30201;Østergade 5 B, 6240;55.06277401;8.95063303;first postcode address
304;00;Ulve Apoteket-Kolding Sønderbro;Søndergade 7;6000;Kolding;Apotek;30400;Søndergade 7, 6000;55.48837694;9.47313752;road
304;01;Ulve Apoteket - Munkebo;Palmealle 2;6000;Kolding;Filial frivillig;30401;Palmealle 2, 6000;55.50130289;9.45650522;road
305;00;Skjern Apotek;Bredgade 44B;6900;Skjern;Apotek-tillægsbevilling;30500;Bredgade 44B, 6900;55.94699645;8.49440316;road
306;00;Aalborg Vejgaard Apotek;Hadsundvej 33B;9000;Aalborg;Apotek;30600;Hadsundvej 33B, 9000;57.04177632;9.95120757;road
306;01;Aalborg Ø, Fyrkilden;Fyrkildevej 7, st.;9220;Aalborg Øst;Filial frivillig;30601;Fyrkildevej 7, st., 9220;57.0265482;10.00403167;road
309;00;Enghave Apotek;Enghave Plads 25;1670;København V;Apotek-tillægsbevilling;30900;Enghave Plads 25, 1670;55.66613338;12.54411559;road
311;00;Vojens Apotek;Rådhuscentret 11 A;6500;Vojens;Apotek;31100;Rådhuscentret 11 A, 6500;55.24627193;9.29916637;first postcode address
312;00;Søborg Apotek;Søborg Hovedgade 86;2860;Søborg;Apotek;31200;Søborg Hovedgade 86, 2860;55.73478648;12.51372858;road
313;00;Frederikshavn Svane Apotek;Søndergade 1;9900;Frederikshavn;Apotek;31300;Søndergade 1, 9900;57.43712334;10.53410853;road
313;01;Rådhusapoteket Frederikshavn;Rådhus Alle 83;9900;Frederikshavn;Filial frivillig;31301;Rådhus Alle 83, 9900;57.43901555;10.53162283;road
314;00;Nykøbing Mors Sct. Clemens Apo;Algade 3;7900;Nykøbing Mors;Apotek;31400;Algade 3, 7900;56.7957183;8.86096928;road
314;01;Øster Jølby Apotek;Doktor Lunds Vej 4;7950;Erslev;Filial;31401;Doktor Lunds Vej 4, 7950;56.83328963;8.71886237;road
314;02;Roslev Apotek;Helsevænget 2;7870;Roslev;Filial;31402;Helsevænget 2, 7870;56.69994216;8.97733112;road
316;00;Nyborg Apotek;Kongegade 8;5800;Nyborg;Apotek;31600;Kongegade 8, 5800;55.31150647;10.79002131;road
318;00;Apoteket Trekroner;Vigerslev Alle 38;2500;Valby;Apotek;31800;Vigerslev Alle 38, 2500;55.66188407;12.51864149;road
320;00;Østerbro Apotek;Østerbrogade 101;2100;København Ø;Apotek-tillægsbevilling;32000;Østerbrogade 101, 2100;55.70943177;12.57719576;road
322;00;Husum Apotek;Frederikssundsvej 320;2700;Brønshøj;Apotek;32200;Frederikssundsvej 320, 2700;55.71199823;12.47255019;road
322;01;Prøvestens Apotek;Birkedalsvej 7 - 9;3000;Helsingør;Filial frivillig;32201;Birkedalsvej 7 - 9, 3000;56.03792874;12.61477773;first postcode address
322;02;Helsingør Bycenter Apotek;Helsingør Bycenter;3000;Helsingør;Filial frivillig;32202;Helsingør Bycenter, 3000;56.03792874;12.61477773;first postcode address
322;03;Tingbjerg Apotek;Ruten 6;2700;Brønshøj;Filial frivillig;32203;Ruten 6, 2700;55.71837483;12.48258401;road
323;00;Tårnby Apotek;Kamillevej 4;2770;Kastrup;Apotek-tillægsbevilling;32300;Kamillevej 4, 2770;55.63271387;12.62226345;road
323;02;Gyldenrisparkens Apotek;Amagerbrogade 264;2300;København S;Filial frivillig;32302;Amagerbrogade 264, 2300;55.64254377;12.61579198;road
323;04;Kongelundens Apotek;Kongelundsvej 364;2770;Kastrup;Filial frivillig;32304;Kongelundsvej 364, 2770;55.61020066;12.58429297;road
325;00;Ordrup Apotek;Ordrupvej 80;2920;Charlottenlund;Apotek-tillægsbevilling;32500;Ordrupvej 80, 2920;55.76153541;12.57421889;road
325;01;Jægersborg Allé Apotek;Jægersborg Alle 35, st.;2920;Charlottenlund;Filial frivillig;32501;Jægersborg Alle 35, st., 2920;55.75495838;12.56694656;road
326;00;Randers Sønderbro Apotek;Dytmærsken 10;8900;Randers;Apotek;32600;Dytmærsken 10, 8900;56.45893143;10.03875952;road
326;03;Randers Nord Apotek;Mariagervej 175;8920;Randers NV;Filial frivillig;32603;Mariagervej 175, 8920;56.48242314;10.02487524;road
326;04;Aarhus Ceres Apotek;Ceres Allé 18;8000;Århus C;Filial frivillig;32604;Ceres Allé 18, 8000;56.15522461;10.18850571;road
326;05;Randers Syd Apotek;Marsvej 30;8960;Randers SØ;Filial frivillig;32605;Marsvej 30, 8960;56.42807285;10.05937181;road
327;00;Dalgas Boulevard Apotek;Dalgas Boulevard 91;2000;Frederiksberg;Apotek;32700;Dalgas Boulevard 91, 2000;55.68163331;12.51056324;road
327;01;Apoteket Lille Bjørn;Nordens Plads 4A, stuen;2000;Frederiksberg;Filial frivillig;32701;Nordens Plads 4A, stuen, 2000;55.67504706;12.53221607;first postcode address
331;00;Aarhus Viby Apotek;Viby Centret 15;8260;Viby Jylland;Apotek;33100;Viby Centret 15, 8260;56.10956451;10.14782299;first postcode address
331;01;Storcenter Nord Apotek;Finlandsgade 17;8200;Århus N;Filial frivillig;33101;Finlandsgade 17, 8200;56.16935291;10.18877726;road
332;00;Sydhavnsapoteket;Borgbjergvej 15;2450;København SV;Apotek-tillægsbevilling;33200;Borgbjergvej 15, 2450;55.64842374;12.55145089;first postcode address
332;01;Sluseholmens Apotek;Sluseholmen 17;2450;København SV;Filial frivillig;33201;Sluseholmen 17, 2450;55.64555416;12.54755855;road
337;00;Århus Åbyhøj Apotek;Haslevej 17;8230;Åbyhøj;Apotek;33700;Haslevej 17, 8230;56.15645814;10.16477275;road
337;01;Hasle Apotek;Hasle Torv, Viborgvej 150;8210;Århus V;Filial frivillig;33701;Hasle Torv, Viborgvej 150, 8210;56.1762561;10.17394388;first postcode address
337;02;Bruuns Apotek;Bruuns Galleri lm-nr. 1-433;8000;Århus C;Filial frivillig;33702;Bruuns Galleri lm-nr. 1-433, 8000;56.15385018;10.20713737;first postcode address
337;03;Tilst Apotek;Agerøvej 7;8381;Tilst;Filial frivillig;33703;Agerøvej 7, 8381;56.18239567;10.10493212;road
338;00;Linde Apoteket;Frederikssundsvej 152;2700;Brønshøj;Apotek;33800;Frederikssundsvej 152, 2700;55.70465855;12.50008718;road
338;01;Høje Gladsaxe Apotek;Høje Gladsaxe Torv 2A;2860;Søborg;Filial frivillig;33801;Høje Gladsaxe Torv 2A, 2860;55.73000495;12.49784277;road
339;00;Rødovre Apotek;Rødovre Centrum 1C, st.124;2610;Rødovre;Apotek;33900;Rødovre Centrum 1C, st.124, 2610;55.67968142;12.45496998;road
339;01;Islev Apotek;Fortvej 5;2610;Rødovre;Filial frivillig;33901;Fortvej 5, 2610;55.69591584;12.45864329;road
341;00;Apoteket Rosen;Tuborgvej 269;2400;København NV;Apotek;34100;Tuborgvej 269, 2400;55.71172855;12.53245043;road
341;01;Hamlets Apotek;Hamletsgade 2;2200;København N;Filial frivillig;34101;Hamletsgade 2, 2200;55.70308768;12.54770758;road
341;05;Husum Bypark Apotek;Frederikssundsvej 248;2700;Brønshøj;Filial frivillig;34105;Frederikssundsvej 248, 2700;55.71600356;12.46283718;first postcode address
341;06;København Fasan Apotek;Nordre Fasanvej 25;2000;Frederiksberg;Filial frivillig;34106;Nordre Fasanvej 25, 2000;55.68151851;12.52230231;road
342;00;Lyngby Løve Apotek;Jernbanepladsen 43;2800;Kongens Lyngby;Apotek;34200;Jernbanepladsen 43, 2800;55.76856213;12.50310795;road
342;01;Lyngby Storcenter Apotek;Lyngby Storcenter st. dør 1;2800;Kongens Lyngby;Filial frivillig;34201;Lyngby Storcenter st. dør 1, 2800;55.76322559;12.50831056;first postcode address
342;02;Sorgenfri Løve Apotek;Hummeltoftevej 16;2830;Virum;Filial frivillig;34202;Hummeltoftevej 16, 2830;55.78215957;12.48311701;road
342;03;Apotek Spinderiet;Valby Torvegade 13;2500;Valby;Filial frivillig;34203;Valby Torvegade 13, 2500;55.66472182;12.5117172;road
342;04;Apotek Vesterbro;Vesterbrogade 60;1620;København V;Filial frivillig;34204;Vesterbrogade 60, 1620;55.67269981;12.55328761;road
342;05;Apotek Ørsted;H. C. Ørsteds Vej 38;1879;Frederiksberg C;Filial frivillig;34205;H. C. Ørsteds Vej 38, 1879;55.68005026;12.54871097;road
342;07;Herlev Løve Apotek;Herlev Torv 2;2730;Herlev;Filial frivillig;34207;Herlev Torv 2, 2730;55.7236268;12.43925339;road
342;09;Apotek Fisketorvet;Kalvebod Brygge 59;1560;København V;Filial frivillig;34209;Kalvebod Brygge 59, 1560;55.66273156;12.5614748;road
343;00;Vanløse Løve Apotek;Vanløse Torv 1, st. 123;2720;Vanløse;Apotek;34300;Vanløse Torv 1, st. 123, 2720;55.68769145;12.49084783;road
343;01;Frederiksberg Løve Apotek;Falkoner Alle 88;2000;Frederiksberg;Filial frivillig;34301;Falkoner Alle 88, 2000;55.68548051;12.53902879;road
344;00;Silkeborg Svane Apotek;Torvet 9;8600;Silkeborg;Apotek;34400;Torvet 9, 8600;56.1698727;9.54994885;road
344;01;Silkeborg Nørrevænget Apotek;Viborgvej 16D;8600;Silkeborg;Filial frivillig;34401;Viborgvej 16D, 8600;56.1859548;9.54400887;road
344;02;Silkeborg Center Nord Apotek;Viborgvej 21B;8600;Silkeborg;Filial frivillig;34402;Viborgvej 21B, 8600;56.18518209;9.541522;road
345;00;Odense Dalum Apotek;Dalumvej 34;5250;Odense SV;Apotek-tillægsbevilling;34500;Dalumvej 34, 5250;55.37213182;10.37065154;road
346;00;Birkerød Apotek;Teglporten 27;3460;Birkerød;Apotek;34600;Teglporten 27, 3460;55.83856254;12.43169926;road
346;01;Allerød Apotek;Allerød Stationsvej 9;3450;Allerød;Filial frivillig;34601;Allerød Stationsvej 9, 3450;55.87111844;12.3557591;road
347;00;Århus Sct. Lukas Apotek;Frederiks Allé 178;8000;Århus C;Apotek-tillægsbevilling;34700;Frederiks Allé 178, 8000;56.14622082;10.1933313;road
347;01;Skejby Apotek;Skelagervej 7;8200;Århus N;Filial frivillig;34701;Skelagervej 7, 8200;56.19424921;10.19448702;road
347;02;Århus Trøjborg Apotek;Tordenskjoldsgade 30;8200;Århus N;Filial frivillig;34702;Tordenskjoldsgade 30, 8200;56.17072791;10.21645192;road
348;00;Hvidovre Apotek;Hvidovrevej 178;2650;Hvidovre;Apotek-tillægsbevilling;34800;Hvidovrevej 178, 2650;55.65347032;12.4742952;road
348;01;Bredalsparken Apotek;Hvidovrevej 322;2650;Hvidovre;Filial frivillig;34801;Hvidovrevej 322, 2650;55.63907478;12.47896764;road
348;02;Hvidovre Hospital Privatapoteket;Kettegård Alle 30;2650;Hvidovre;Filial frivillig;34802;Kettegård Alle 30, 2650;55.64866917;12.47025185;road
349;00;Virum Apotek;Frederiksdalsvej 73;2830;Virum;Apotek-tillægsbevilling;34900;Frederiksdalsvej 73, 2830;55.79531124;12.47301398;road
350;00;Kastrup Apotek;Skottegården 2;2770;Kastrup;Apotek;35000;Skottegården 2, 2770;55.63769977;12.63515059;road
350;01;Dragør Apotek;Dragør Center;2791;Dragør;Filial frivillig;35001;Dragør Center, 2791;55.58790749;12.65448157;first postcode address
350;02;Lufthavns Apotek København;Lufthavnsboulevarden 6;2770;Kastrup;Filial frivillig;35002;Lufthavnsboulevarden 6, 2770;55.62951326;12.63936608;road
350;03;Amager Strand Apotek;Strandlodsvej 41;2300;København S;Filial frivillig;35003;Strandlodsvej 41, 2300;55.66418086;12.62277306;road
351;00;Herlev Apotek;Herlev Torv 13;2730;Herlev;Apotek;35100;Herlev Torv 13, 2730;55.72414148;12.43896377;road
351;01;Hjortespring Apotek;Dildhaven 51;2730;Herlev;Filial frivillig;35101;Dildhaven 51, 2730;55.74272754;12.42333583;road
352;00;Århus Stjerne Apotek;Stjernepladsen 12;8200;Århus N;Apotek-tillægsbevilling;35200;Stjernepladsen 12, 8200;56.17461856;10.20326412;road
353;00;Bagsværd Apotek;Bagsværd Torv 6;2880;Bagsværd;Apotek-tillægsbevilling;35300;Bagsværd Torv 6, 2880;55.76156955;12.45230122;road
354;00;Brøndbyøster Apotek;Nygårds Plads 29A;2605;Brøndby;Apotek;35400;Nygårds Plads 29A, 2605;55.66752279;12.43759503;road
354;01;Brøndbyvester Apotek;Søndre Ringvej 41 F;2605;Brøndby;Filial frivillig;35401;Søndre Ringvej 41 F, 2605;55.64763185;12.37979689;first postcode address
354;02;Rødovre Krone Apotek;Rødovre Centrum 1R, st. 6;2610;Rødovre;Filial frivillig;35402;Rødovre Centrum 1R, st. 6, 2610;55.67990408;12.45798323;road
355;00;Friheden Apotek;Strandmarksvej 20;2650;Hvidovre;Apotek;35500;Strandmarksvej 20, 2650;55.62689099;12.48466083;road
355;01;Brøndby Strand Apotek;Brøndby Strand Butikscenter 16;2660;Brøndby Strand;Filial frivillig;35501;Brøndby Strand Butikscenter 16, 2660;55.62765694;12.41673992;first postcode address
355;02;Hvidovre Stationsapotek;Lauritz Olsens vej 1, st. dør 30;2650;Hvidovre;Filial frivillig;35502;Lauritz Olsens vej 1, st. dør 30, 2650;55.65399618;12.46353177;first postcode address
355;04;Vallensbæk Apotek;Vallensbæk Stationstorv 60;2665;Vallensbæk Strand;Filial frivillig;35504;Vallensbæk Stationstorv 60, 2665;55.62323039;12.38882464;road
356;00;Hirtshals Apotek;Jørgen Fibigersgade 18;9850;Hirtshals;Apotek;35600;Jørgen Fibigersgade 18, 9850;57.59049613;9.95997404;road
356;01;Sindal Apotek;Vestergade 2 A;9870;Sindal;Filial;35601;Vestergade 2 A, 9870;57.46967134;10.20490811;first postcode address
357;00;Odense Bolbro Apotek;Middelfartvej 129;5200;Odense V;Apotek-tillægsbevilling;35700;Middelfartvej 129, 5200;55.39409764;10.34776198;road
357;01;Tarup Apotek;Rugvang 36-40;5210;Odense NV;Filial frivillig;35701;Rugvang 36-40, 5210;55.40982533;10.33923186;road
357;02;Korup Apotek;Åbakkevej 67;5210;Odense NV;Filial frivillig;35702;Åbakkevej 67, 5210;55.4179487;10.27395798;road
358;00;Buddinge Apotek;Søborg Hovedgade 201;2860;Søborg;Apotek-tillægsbevilling;35800;Søborg Hovedgade 201, 2860;55.74186577;12.49743821;road
359;00;Albertslund Apotek;Bytorvet 5;2620;Albertslund;Apotek;35900;Bytorvet 5, 2620;55.65651397;12.35369458;road
360;00;Skovlunde Apotek;Torvestrædet 2;2740;Skovlunde;Apotek;36000;Torvestrædet 2, 2740;55.72153079;12.40170185;road
360;02;Apoteket Møllebro;Slangerupgade 50;3400;Hillerød;Filial frivillig;36002;Slangerupgade 50, 3400;55.92862373;12.29345427;road
360;03;Bagsværd Svale Apotek;Bagsværd Hovedgade 126A;2880;Bagsværd;Filial frivillig;36003;Bagsværd Hovedgade 126A, 2880;55.76042584;12.45600863;road
361;00;Aalborghus Apotek;Grønlands Torv;9210;Aalborg SØ;Apotek;36100;Grønlands Torv, 9210;57.02297341;9.94303011;road
361;01;Aalborg Storcenter Apotek;Hobrovej 452;9200;Aalborg SV;Filial frivillig;36101;Hobrovej 452, 9200;57.00479614;9.87593478;road
361;02;Svenstrup Apotek;Godthåbsvej 12;9230;Svenstrup Jylland;Filial frivillig;36102;Godthåbsvej 12, 9230;56.97245763;9.851756;road
361;03;Slotsgade Apotek;Slotsgade 8-14;9000;Aalborg;Filial frivillig;36103;Slotsgade 8-14, 9000;57.02930345;9.95249717;first postcode address
362;00;Værløse Apotek;Bymidten 13;3500;Værløse;Apotek;36200;Bymidten 13, 3500;55.78453868;12.3737177;road
363;00;Esbjerg Jerne Apotek;Strandby Kirkevej 80;6705;Esbjerg Ø;Apotek;36300;Strandby Kirkevej 80, 6705;55.47881397;8.48016766;road
363;01;Fanø Apotek;Hovedgaden 84, Nordby;6720;Fanø;Filial;36301;Hovedgaden 84, Nordby, 6720;55.44340575;8.40211751;road
363;02;Hjerting Apotek;Bytoften 24;6710;Esbjerg V;Filial frivillig;36302;Bytoften 24, 6710;55.52646278;8.35819984;road
363;03;Esbjerg City Nord Apotek;Stormgade 157;6715;Esbjerg N;Filial frivillig;36303;Stormgade 157, 6715;55.51109896;8.45638668;road
364;00;Helsingør Axeltorvs Apotek;Groskenstræde 2 A;3000;Helsingør;Apotek;36400;Groskenstræde 2 A, 3000;56.03792874;12.61477773;first postcode address
364;01;Ålsgårde Apotek;Ålsgårde Centret 5;3140;Ålsgårde;Filial frivillig;36401;Ålsgårde Centret 5, 3140;56.07681419;12.53798959;first postcode address
364;02;Apoteket Gefion;Gefion Centret;3000;Helsingør;Filial frivillig;36402;Gefion Centret, 3000;56.03792874;12.61477773;first postcode address
365;00;Hundige Apotek;Waves, Over Bølgen 19 B;2670;Greve;Apotek;36500;Waves, Over Bølgen 19 B, 2670;55.58266427;12.27244196;first postcode address
365;01;Ishøj Apotek;Nørregade 12, Ishøj Bycenter;2635;Ishøj;Filial frivillig;36501;Nørregade 12, Ishøj Bycenter, 2635;55.62277193;12.25640278;first postcode address
365;02;Plusapoteket Waves;Over Bølgen 3D, Waves;2670;Greve;Filial frivillig;36502;Over Bølgen 3D, Waves, 2670;55.58266427;12.27244196;first postcode address
366;00;Århus City Vest Apotek;Gudrunsvej 7;8220;Brabrand;Apotek;36600;Gudrunsvej 7, 8220;56.1552641;10.13490718;road
366;03;Langenæs Apotek;Skanderborgvej 18-24;8000;Århus C;Filial frivillig;36603;Skanderborgvej 18-24, 8000;56.15385018;10.20713737;first postcode address
366;04;Højvang Apotek Skanderborg;Højvang Centret 1;8660;Skanderborg;Filial frivillig;36604;Højvang Centret 1, 8660;56.04382833;9.94725743;road
366;05;Nørremark Apotek Vejle;Nørremark Center 10;7100;Vejle;Filial frivillig;36605;Nørremark Center 10, 7100;55.72053142;9.55936626;road
367;00;Hillerød Krone Apotek;Helsingørgade 10;3400;Hillerød;Apotek;36700;Helsingørgade 10, 3400;55.94494339;12.24766529;first postcode address
367;01;Ullerød Apotek;Frederiksværkgade 119;3400;Hillerød;Filial frivillig;36701;Frederiksværkgade 119, 3400;55.94494339;12.24766529;first postcode address
367;02;Hillerød Øst Apotek;Fredskovhellet 1;3400;Hillerød;Filial frivillig;36702;Fredskovhellet 1, 3400;55.92816556;12.33716603;road
368;00;Køge Boholte Apotek;Marksvinget 21;4600;Køge;Apotek;36800;Marksvinget 21, 4600;55.4479967;12.1645903;road
368;01;Ølby Apotek;Ølbycenter 25;4600;Køge;Filial frivillig;36801;Ølbycenter 25, 4600;55.47874027;12.17503262;road
368;02;Herfølge Apotek;Vordingborgvej 106;4681;Herfølge;Filial frivillig;36802;Vordingborgvej 106, 4681;55.41513149;12.14239488;first postcode address
368;03;Rønnede Apotek;Vordingborgvej 517;4683;Rønnede;Filial frivillig;36803;Vordingborgvej 517, 4683;55.25921516;12.02185367;road
369;00;Stenløse Apotek;Egedal Centret  2;3660;Stenløse;Apotek-tillægsbevilling;36900;Egedal Centret  2, 3660;55.76822038;12.19488939;road
369;01;Ølstykke Apotek;Frederiksborgvej 9;3650;Ølstykke;Filial frivillig;36901;Frederiksborgvej 9, 3650;55.79060628;12.1556721;road
369;02;Jyllinge Apotek;Jyllingecenteret 31;4040;Jyllinge;Filial frivillig;36902;Jyllingecenteret 31, 4040;55.76467042;12.10168522;first postcode address
369;03;Egedal Apotek;Dr. Dagmars Vej 246;3650;Ølstykke;Filial frivillig;36903;Dr. Dagmars Vej 246, 3650;55.7808364;12.18708516;road
369;04;Apoteket ROs Torv;Ro´s Torv 1, 210;4000;Roskilde;Filial frivillig;36904;Ro´s Torv 1, 210, 4000;55.64240104;12.10095059;road
370;00;Greve Apotek;Greve Midtby Center 14B;2670;Greve;Apotek;37000;Greve Midtby Center 14B, 2670;55.58229704;12.29435485;road
370;01;Havdrup Apotek;Møllemarken  8;4622;Havdrup;Filial frivillig;37001;Møllemarken  8, 4622;55.54376372;12.11526295;road
370;02;Tune Apotek;Tune Center 3 B;4030;Tune;Filial frivillig;37002;Tune Center 3 B, 4030;55.59416129;12.18481091;first postcode address
410;00;Gazelle Online Apotek;Møgelgårdsvej 6;8520;Lystrup;Internet-apotek;41000;Møgelgårdsvej 6, 8520;56.23094354;10.23955455;road
411;00;Apopro Online Apotek;Kildebrøndevej 44A;2670;Greve;Internet-apotek;41100;Kildebrøndevej 44A, 2670;55.60273856;12.28888272;road
